,ticker,secShortName,tradeDate,turnoverVol,turnoverValue
7505,300477,合纵科技,2018-03-06,7373250,192441825.0
7506,300477,合纵科技,2018-03-07,30758860,831638158.13
7507,300477,合纵科技,2018-03-08,24324114,684006541.2
7508,300477,合纵科技,2018-03-09,23211201,653548971.21
7509,300477,合纵科技,2018-03-12,27399067,814526857.28
7510,300477,合纵科技,2018-03-13,16270184,480061469.16
7511,300477,合纵科技,2018-03-14,26050216,808911591.24
7512,300477,合纵科技,2018-03-15,24497041,742237369.24
7513,300477,合纵科技,2018-03-16,21119690,652158826.29
7514,300477,合纵科技,2018-03-19,25230461,843458646.56
7515,300477,合纵科技,2018-03-20,16147829,555209643.15
7516,300477,合纵科技,2018-03-21,16672610,579846906.64
7517,300477,合纵科技,2018-03-22,22669893,827735561.42
7518,300477,合纵科技,2018-03-23,21389472,796717211.71
7519,300477,合纵科技,2018-03-26,15228387,567308776.52
7520,300477,合纵科技,2018-03-27,26977313,954123085.12
7521,300477,合纵科技,2018-03-28,24890256,840459800.56
7522,300477,合纵科技,2018-03-29,15395441,502255775.36
7523,300477,合纵科技,2018-03-30,13960750,460837373.84
7524,300477,合纵科技,2018-04-02,20908614,677421045.75
7525,300477,合纵科技,2018-04-03,13126684,413441819.34
7526,300477,合纵科技,2018-04-04,12532359,392924695.55
7527,300477,合纵科技,2018-04-09,12189928,383884263.93
7528,300477,合纵科技,2018-04-10,16808037,539871647.69
7529,300477,合纵科技,2018-04-11,15019933,473201981.15
7530,300477,合纵科技,2018-04-12,16519510,493307205.8
7531,300477,合纵科技,2018-04-13,9462552,275318258.33
7532,300477,合纵科技,2018-04-16,8976383,259338564.91
7533,300477,合纵科技,2018-04-17,11279101,322571972.8
7534,300477,合纵科技,2018-04-18,10766199,301036958.25
7535,300477,合纵科技,2018-04-19,9333737,264433439.75
7536,300477,合纵科技,2018-04-20,10920987,309147836.64
7537,300477,合纵科技,2018-04-23,9297285,254176253.8
7538,300477,合纵科技,2018-04-24,12725285,357936929.78
7539,300477,合纵科技,2018-04-25,12169600,347300130.99
7540,300477,合纵科技,2018-04-26,12538264,335918639.8
7541,300477,合纵科技,2018-04-27,5911714,156804560.84
7542,300477,合纵科技,2018-05-02,7438012,194181458.54
7543,300477,合纵科技,2018-05-03,8335960,213168143.0
7544,300477,合纵科技,2018-05-04,7317385,189709853.35
7545,300477,合纵科技,2018-05-07,11704788,309344857.76
7546,300477,合纵科技,2018-05-08,8483436,223495652.11
7547,300477,合纵科技,2018-05-09,10079101,268062194.58
7548,300477,合纵科技,2018-05-10,8287915,219731800.17
7549,300477,合纵科技,2018-05-11,23860268,660685727.84
7550,300477,合纵科技,2018-05-14,18099881,506373561.33
7551,300477,合纵科技,2018-05-15,10821850,294387672.0
7552,300477,合纵科技,2018-05-16,8203200,223034617.5
7553,300477,合纵科技,2018-05-17,9360500,249108970.5
7554,300477,合纵科技,2018-05-18,16518411,404476115.19
7555,300477,合纵科技,2018-05-21,7818907,190970088.32
7556,300477,合纵科技,2018-05-22,9408047,230493611.16
7557,300477,合纵科技,2018-05-23,6409634,157048281.64
7558,300477,合纵科技,2018-05-24,4758100,115858974.0
7559,300477,合纵科技,2018-05-25,8606314,201588000.8
7560,300477,合纵科技,2018-05-28,7961101,185834421.78
7561,300477,合纵科技,2018-05-29,7094800,168428775.5
7562,300477,合纵科技,2018-05-30,9269250,203750054.85
7563,300477,合纵科技,2018-05-31,8551173,185015358.22
7564,300477,合纵科技,2018-06-01,5771250,125989413.48
7565,300477,合纵科技,2018-06-04,4360367,95020464.57
7566,300477,合纵科技,2018-06-05,4897317,107709136.86
7567,300477,合纵科技,2018-06-06,7129850,158901845.5
7568,300477,合纵科技,2018-06-07,9029200,193103414.83
7569,300477,合纵科技,2018-06-08,7975435,166768710.95
7570,300477,合纵科技,2018-06-11,5846924,125407062.54
7571,300477,合纵科技,2018-06-12,5680633,120546405.35
7572,300477,合纵科技,2018-06-13,5009733,105184703.1
7573,300477,合纵科技,2018-06-14,3698083,76385805.88
7574,300477,合纵科技,2018-06-15,5578216,111737560.34
7575,300477,合纵科技,2018-06-19,7213400,132636002.5
7576,300477,合纵科技,2018-06-20,6280474,110595617.9
7577,300477,合纵科技,2018-06-21,9158300,152888738.5
7578,300477,合纵科技,2018-06-22,8697266,143412305.4
7579,300477,合纵科技,2018-06-25,11784031,212112089.96
7580,300477,合纵科技,2018-06-26,7010743,126687863.3
7581,300477,合纵科技,2018-06-27,5300118,96316036.98
7582,300477,合纵科技,2018-06-28,11709148,220515627.9
7583,300477,合纵科技,2018-06-29,10429499,197221216.08
7584,300477,合纵科技,2018-07-02,8243300,152862521.0
7585,300477,合纵科技,2018-07-03,6770099,125460612.21
7586,300477,合纵科技,2018-07-04,5642200,104135726.0
7587,300477,合纵科技,2018-07-05,11600399,220599995.53
7588,300477,合纵科技,2018-07-06,11902781,227383560.1
7589,300477,合纵科技,2018-07-09,7094374,132423782.16
7590,300477,合纵科技,2018-07-10,14124324,279454029.76
7591,300477,合纵科技,2018-07-11,23015853,495839751.97
7592,300477,合纵科技,2018-07-12,17365680,382098769.52
7593,300477,合纵科技,2018-07-13,39561133,503554962.7
7594,300477,合纵科技,2018-07-16,58779418,852625449.86
7595,300477,合纵科技,2018-07-17,51820926,766219773.02
7596,300477,合纵科技,2018-07-18,36320657,522571094.2
7597,300477,合纵科技,2018-07-19,36472378,513564411.53
7598,300477,合纵科技,2018-07-20,27784135,398516093.73
7599,300477,合纵科技,2018-07-23,21610599,304638794.97
7600,300477,合纵科技,2018-07-24,24867701,336453388.35
7601,300477,合纵科技,2018-07-25,26964701,356494821.98
7602,300477,合纵科技,2018-07-26,16998603,221485833.59
7603,300556,丝路视觉,2018-01-02,1401522,30087276.92
7604,300556,丝路视觉,2018-01-03,1736296,37573983.68
7605,300556,丝路视觉,2018-01-04,2410681,53166211.1
7606,300556,丝路视觉,2018-01-05,1303000,28447834.0
7607,300556,丝路视觉,2018-01-08,1262800,26849646.0
7608,300556,丝路视觉,2018-01-09,2350630,50890289.78
7609,300556,丝路视觉,2018-01-10,1741478,37461090.86
7610,300556,丝路视觉,2018-01-11,2097451,45407809.08
7611,300556,丝路视觉,2018-01-12,3028111,67154224.42
7612,300556,丝路视觉,2018-01-15,2414409,51808259.3
7613,300556,丝路视觉,2018-01-16,5536815,131590291.4
7614,300556,丝路视觉,2018-01-17,10930518,274147479.79
