('发布了头条文章：《云南锗业 闰土股份 盛路通信 长高集团：主力异动，何时反弹?！》 $云南锗业 sz002428$ $闰土股份 sz002440$ $盛路通信 sz002446$ $长高集团 sz002452$ $上证指数 sh000001$ |云南锗业 ...', '2018-06-14 23:25:30')
('#盛路通信 sz002446[股票]#目前的趋势越走越弱了，连续的破位下跌走势已经非常的乏力了，股价在不断创新低，建议短线减仓，避免成本的进一步损失', '2018-06-12 02:42:25')
('#盛路通信 sz002446[股票]# 近期振荡下跌，表现偏弱，均线空头排列，目前指标背离金叉，7.26上方可持有等待，逢反弹建议减仓', '2018-06-11 21:01:19')
('发布了头条文章：《盛路通信 长高集团 益生股份 众应互联：横空出世，势不可挡？！》 $盛路通信 sz002446$ $长高集团 sz002452$ $益生股份 sz002458$ $众应互联 sz002464$ $上证指数 sh000001$ |盛路通信 ...', '2018-06-11 10:44:32')
('发布了头条文章：《最新消息出炉：光库科技 盛路通信 熙菱信息 多伦科技》 $光库科技 sz300620$ $盛路通信 sz002446$ $熙菱信息 sz300588$ $多伦科技 sh603528$ \ue627 股票分析 \ue627 微博股票 #个股专业点评# \ue627 头条文章 |最新消息出...', '2018-06-10 02:31:20')
('发布了头条文章：《重磅消息：盛路通信+美亚柏科+利亚德，本周操作策略解读》 $盛路通信 sz002446$ +$美亚柏科 sz300188$ +$利亚德 sz300296$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-06-07 06:18:49')
('2018-06-05 当前持股未动，晋亿实业止损线是30日线，盛路通信的止损是成本吧。今天大家都涨了，不知道主线在哪儿，再观察吧。祝好！', '2018-06-05 10:34:14')
('603317 博威合金 32行业金股，经营现金流目前为负值，短期股价超跌，可以逢低逐步买入，公司有价值002446 盛路通信 除了现金流为负值以外，公司经营较好，2018年公司有大量筹码解禁，这压制股价的进一步表现，建议逐步逢低吸纳，长线持有，必有厚报；002229 中环股份 q趋势短期破位，考验下方8.3-8.5 ...展开全文c', '2018-05-31 09:26:43')
('发布了头条文章：《本周A股行情开启：盛路通信+永辉超市+易事特》 $盛路通信 sz002446$ $永辉超市 sh601933$ $易事特 sz300376$ \ue627 股票分析 |本周A股行...', '2018-05-29 04:43:04')
('一点盛路通信成本价也卖出了，空仓了。大盘连续下跌中咱没赔钱也知足了，等下次狙击机会了。今天大盘小反弹，明后天继续探底再杀回来。', '2018-05-29 02:27:36')
('持有盛路通信、富春股份、嘉泽新能、捷成股份有问题的可以评论留言。$盛路通信 sz002446$ $富春股份 sz300299$$嘉泽新能 sh601619$ $捷成股份 sz300182$', '2018-05-28 23:38:33')
('小跌止损，大跌补仓。越跌越买，就不割肉。大盘下跌空间已经不大，不要倒在黎明之前。目前手里就盛路通信。早上T了一把，降了一点成本，坚定看好，坚决持有。', '2018-05-28 03:10:00')
('5G概念中 除我们的300565 科信技术 打板外， 超讯通信，广和通，吉大通信，烽火通信，中通国脉，东方通信，国脉科技，盛路通信 这些要注意好，上周要不是特朗普这黑嘴的话，5G本来能连续一波反弹的，无奈臭嘴一喷上周硬是把5G喷的一地鸡毛，周末中美就中兴解除制裁达成有条件共识，应该来说对5G板块 ...展开全文c', '2018-05-27 23:34:55')
('#盛路通信 sz002446[股票]# 近期振荡走势，支撑8.2元附近，压力9.6元附近，目前有向下回踩支撑的迹象，支撑住可持有。', '2018-05-27 21:11:05')
('【晚间复盘特点股总结】1、涨幅榜特征：燃气医药。2、跌幅榜特征：无规律。3、总金额榜：烽火通信、江苏租赁。4、量比榜：大西洋、盛路通信。5、内外比榜：全筑股份、如意集团；6、利好榜：天汽模、旭升股份；7、图形榜：羚锐医药、惠泉啤酒。（个人资料他人不能买，熊咪西很疼的）', '2018-05-22 17:42:28')
('5G的#盛路通信 sz002446[股票]# #天孚通信 sz300394[股票]# #超讯通信 sh603322[股票]#', '2018-05-22 12:35:59')
('复盘选股：300394天孚通信，002446盛路通信，002708光洋股份，603963大理药业', '2018-05-22 11:12:32')
('发布了头条文章：《走势以及操作技巧精准解析：盛路通信+铁龙物流+通策医疗+永辉超市》 $盛路通信 sz002446$ $铁龙物流 sh600125$ $通策医疗 sh600763$ $永辉超市 sh601933$ #股票分析# #今日财经# #今日看盘# |走势以及操...', '2018-05-22 06:17:15')
('发布了头条文章：《主力阴谋揭秘：盛路通信+艾德生物+完美世界》 $盛路通信 sz002446$ $艾德生物 sz300685$ $完美世界 sz002624$ #财经头条文章# #股票分析# |主力阴谋揭...', '2018-05-22 04:41:53')
('发布了头条文章：《最新诡异走势曝光：碧水源 盛屯矿业 众泰汽车 盛路通信》 $碧水源 sz300070$ $盛屯矿业 sh600711$ $众泰汽车 sz000980$ $盛路通信 sz002446$ #微博股票# |最新诡异走...', '2018-05-22 02:26:00')
('#盛路通信 sz002446[股票]# 近期振荡整理后今日放量向上突破半年线，关注半年线支撑有效性，支撑有效半年线附近可以适当考虑。', '2018-05-22 01:27:53')
('超短线午后顺序关注：普洛药业，吉大通信（盛路通信，太辰光），湖北广电，华脉科技，飞荣达', '2018-05-21 23:48:35')
('让大家重点关注的方向之一的5G概念强势爆发！ 提示的 广和通 封上涨停，超讯通信，天邑股份 都封板了，吉大通信，盛路通信，中通国脉，通宇通讯，科信技术，国脉科技，都纷纷拉升大涨，5G下午或将掀起涨停潮，各位潜伏没，收获没#今日头条# #今日看盘# #投资达人说# $盐津铺子 sz002847$', '2018-05-21 23:39:47')
('5G板块异动拉升，吉大通信大涨逾8%，盛路通信、中通国脉、七一二等快速跟涨。', '2018-05-21 23:35:04')
('通讯+国防军工概念开始拉升，中富通(300560)涨停，盛路通信(002446)上涨6%', '2018-05-21 23:27:12')
('#盛路通信 sz002446[股票]# 该股目前走势来看，关注在60日均线和半年线位置压制的选择，建议操作上选择突破半年线确立后选择建仓！', '2018-05-20 09:56:04')
('卖掉了盛路通信，实在没耐心了，不涨我就卖了。成本8.76，挣了一点菜钱。', '2018-05-16 03:56:16')
('发布了头条文章：《万里扬 闰土股份 盛路通信 长高集团：主力洗盘或是抄底良机？》 $万里扬 sz002434$ $闰土股份 sz002440$ $盛路通信 sz002446$ $长高集团 sz002452$ $上证指数 sh000001$ |万里扬 闰...', '2018-05-15 10:26:27')
('发布了头条文章：《本周A股走势揭秘：中广天择+邦讯技术+盛路通信》 $中广天择 sh603721$ $邦讯技术 sz300312$ $盛路通信 sz002446$ #股票分析# |本周A股走...', '2018-05-14 03:10:49')
('最近【逍遥绝密内参】连抓涨停板奉献给了逍遥的广大粉丝。可谓是劳苦功高。回顾上周星期一：推出的$盛路通信 sz002446$ 两天大涨15个点。', '2018-05-13 22:53:57')
('发布了头条文章：《盛路通信002446 ：股价震荡下跌暗藏暴涨信号，此点有望再度爆发》 $盛路通信 sz002446$ #股票最热门#个股专业点评#股票分析#热门股票推荐#个股推荐与走势分析# |盛路通信00...', '2018-05-11 05:31:21')
('$盛路通信 sz002446$ 业绩预增，调整到位，上行概率大', '2018-05-07 21:11:03')
