('一旦股票出现“三线金叉”洗盘信号,打死也不要卖,股价将一路疯涨 $新凤鸣 sh603225$ $大同煤业 sh601001$ $农产品 sz000061$ $三一重工 sh600031$ 我的小蜗牛...', '2018-06-29 11:52:31')
('九州通 招商证券 唐山港 大同煤业 晋亿实业 柳钢股份 股海大咖的...', '2018-06-29 01:33:23')
('西安女博士赠言：“换手率”是股市唯一赚钱指标，值得散户珍藏 $科华控股 sh603161$ $海利尔 sh603639$ $大同煤业 sh601001$ $凌云股份 sh600480$ QueenieL的...', '2018-06-28 21:24:56')
('A股唯一能盈利20年王者指标——“线上阴线买”，股市就是印钞机 $大同煤业 sh601001$ $爱柯迪 sh600933$ $星网锐捷 sz002396$ $耐威科技 sz300456$ 我的小蜗牛...', '2018-06-27 09:08:07')
('40岁女博士直言：所有股票尾盘拉升 都是庄家游资在做短线差价 $外高桥 sh600648$ $国投电力 sh600886$ $武钢股份 sh600005$ $大同煤业 sh601001$ 凌_BLove新...', '2018-06-27 05:09:43')
('北京一老教授终把“股票七不买”讲清楚了，仅分享一次，今晚就删 $中科曙光 sh603019$ $大同煤业 sh601001$ $徐工机械 sz000425$ $浙江东日 sh600113$ 凌_BLove新...', '2018-06-27 03:32:22')
('股市唯一信得过的盘口顺口溜：三线二下一上涨，三线二上一下跌 $大同煤业 sh601001$ $贝因美 sz002570$ $超声电子 sz000823$ $津滨发展 sz000897$ 论A股堂的...', '2018-06-26 14:20:30')
('发布了头条文章：《7月涨停潮震撼来袭！中国人寿+大连港+大同煤业+金融街》 $中国人寿 sh601628$ $大连港 sh601880$ $大同煤业 sh601001$ $金融街 sz000402$ \ue627 股票分析 #财经头条# #财经趣闻# |7月涨停潮...', '2018-06-26 11:20:45')
('利好消息：唐山港 大同煤业 晋亿实业 刘庆谈财的...', '2018-06-22 04:13:53')
('预知后市如何.可以加wei信：371540346,指导买卖点和解套技术，总有方法为你指点迷津，广东明珠(sh600382) 歌华有线(sh600037) 北巴传媒(sh600386) 大同煤业(sh601001) 新华医疗(sh600587) 盘江股份(sh600395)', '2018-06-21 21:40:26')
('发布了头条文章：《南 玻Ａ 吉林敖东 英威腾 大同煤业：揭竿而起，对抗大盘？！》 $上证指数 sh000001$ $南玻Ａ sz000012$ $吉林敖东 sz000623$ $英威腾 sz002334$ $大同煤业 sh601001$ |南 玻Ａ 吉...', '2018-06-21 12:49:14')
('#大同煤业 sh601001[股票]# 个股推荐：该股属于煤炭开采行业，MACD中出现金叉 正在处于一个上涨的趋势 成交量慢慢放大 值得买进的一直好股建议可以在5.19 买进 目标看到5.58', '2018-06-20 22:15:30')
('煤炭拉升：郑州煤电、山煤国际冲击涨停，大有能源、大同煤业、新集能源、恒源煤电、平煤股份涨幅居前。银行股护盘：南京银行、宁波银行、平安银行、兴业银行、招商银行、建设银行涨幅居前。', '2018-06-18 22:47:25')
('$山煤国际 sh600546$ 冲击涨停，但未能封住，$郑州煤电 sh600121$大同煤业 sh601001$ 等纷纷大涨。', '2018-06-15 17:16:29')
('网页链接 新浪财经讯6月15日消息，煤炭板块持续震荡上扬，截止发稿，郑州煤电[股评]涨超7%，山煤国际涨超5%，大同煤业[股评]、...|快讯：煤炭...', '2018-06-15 11:21:35')
('发布了头条文章：《下周主力阴谋曝光：大同煤业+有研新材+泰瑞机器》 |下周主力阴...', '2018-06-15 05:44:35')
('6.15热点题材彩票：姚记扑克、证通电子、鸿博股份、天音控股、冠豪高新、粤传媒、人民网、湖北广电房地产：荣安地产、泰禾集团、大龙地产、保利地产、新城控股煤炭：郑州煤电、山煤国际、新集能源、大有能源、大同煤业券商：西部证券、山西证券、国元证券、第一创业、华泰证券芯片：晓程科技、江 ...展开全文c', '2018-06-15 04:43:57')
('500点一强震，200点一小震煤炭拉升2%：郑州煤电涨8%，山煤国际涨6%，大有能源、大同煤业、新集能源、恒源煤电、平煤股份涨幅居前。钢铁股冲高：中原特钢、西宁特钢、首钢股份涨逾5%。银行股护盘：南京银行、宁波银行、平安银行、兴业银行、招商银行、建设银行涨幅居前。房地产板块集体反弹：荣安地产 ...展开全文c', '2018-06-15 04:30:39')
('$兖州煤业 sh600188$$郑州煤电 sh600121$$山煤国际 sh600546$$西山煤电 sz000983$$平煤股份 sh601666$$大同煤业 sh601001$……哪个好？$道琼斯 .DJI$', '2018-06-15 01:52:41')
('煤炭板块是今日的最强板块，郑州煤电上板，三美国际，大优能源，大同煤业、山西焦化等逆势较强。也是涨价可带来的强势。$上证指数 sh000001$', '2018-06-15 01:48:56')
('发布了头条文章：《节后A股蓄势待发：新筑股份 国海证券 大同煤业 三湘印象》$新筑股份 sz002480$ $国海证券 sz000750$ $大同煤业 sh601001$ $三湘印象 sz000863$ \ue627 股票 |节后A股蓄...', '2018-06-14 23:26:48')
('周五沪指低开小幅反弹后继续下探，盘中最低跌至3026点，再次刷新年内新低，随后银行、地产拉升护盘，保利地产、招商蛇口等龙头地产公司涨逾3%，煤炭、建材等周期股也表现较好，山煤国际、大同煤业等快速拉升。但市场氛围总体偏弱，两市近30家个股跌停。金融去杠杆背景下，局部信用风险暴露 ...展开全文c', '2018-06-14 22:46:26')
('$上证指数 sh000001$ 开盘60分钟 权重板块房地产开盘活跃，龙头荣安地产强势封板，龙二泰禾集团大涨6%，大龙地产、保利地产、新城控股涨4%，阳光城跟涨煤炭板块持续走强，龙头郑州煤电大涨8%，山煤国际涨6%，新集能源、大有能源、大同煤业纷纷跟涨。整体来看目前市场氛围冷清流动性不足，盘面出现恐慌 ...展开全文c', '2018-06-14 22:42:55')
('煤炭板块持续走强，龙头$郑州煤电 sh600121$ 大涨8%，$山煤国际 sh600546$ 涨6%，$新集能源 sh601918$ 、$大有能源 sh600403$ 、$大同煤业 sh601001$ 纷纷跟涨卑劣手段！护盘只会更惨！', '2018-06-14 22:22:27')
('煤炭板块持续走强，龙头郑州煤电大涨8%，山煤国际涨6%，新集能源、大有能源、大同煤业纷纷跟涨卑劣手段！护盘只会更惨！关税名单这几天披露，中国芯的愚蠢爱国口号将会继续响起！最恶心的是，贸易战缓和就把集成电路芯片往死里跌...展开全文c', '2018-06-14 22:20:30')
('煤炭板块持续走强，龙头郑州煤电大涨8%，山煤国际涨6%，新集能源、大有能源、大同煤业纷纷跟涨。由于这个版块有发改委指导长协价 所以煤炭的持续性 我不是很看好大山是暂时不考虑煤炭板块 仅供大家参考$上证指数 sh000001$ \ue627 今日看盘', '2018-06-14 22:17:12')
('实时播报：煤炭板块持续走强，龙头郑州煤电大涨8%，山煤国际涨6%，新集能源、大有能源、大同煤业纷纷跟涨。', '2018-06-14 22:09:43')
('发布了头条文章：《【掘金题材】煤炭价格新高 行业盈利向好》 $山煤国际 sh600546$ $西山煤电 sz000983$ $大同煤业 sh601001$ |【掘金题材...', '2018-06-14 22:04:10')
('现在的市场没什么好说的，业绩不好的和问题股跌得稀哩哗啦，深不见底，另一些质地不错的二线股随大流阴跌。昨天关注了一下煤炭股，感觉主力有点想法，中期业绩大增，股价又低，比如大同煤业，阳泉煤业。', '2018-06-13 06:30:52')
('煤炭行业再次爆出重大利好，陕西煤业，大同煤业 持有的散户注意 邬过荡邬的...', '2018-06-12 01:18:44')
('九州通 招商证券 唐山港 大同煤业 股海大咖的...', '2018-06-09 07:28:04')
('#每天学一点之《千炼成妖》#P105—P106三、战法举例(1)图3-21是民生银行(600016)在2012年12月5日~2013年3月11日的K线图。该股是这轮行情热点板块金融板块的一个龙头品种，其特点是筹码相对集中。 ...展开全文c', '2018-06-04 18:59:03')
('曝光妖股五种形态：华森制药 华西证券 麦迪电气 大同煤业 正虹科技 $华西证券 sz002926$ $麦迪电气 sz300341$ $大同煤业 sh601001$ $正虹科技 sz000702$ #华森制药 sz002907[股票]# #华录百纳 sz300291[股票]# 令哥复盘的...', '2018-06-02 10:41:01')
('#大同煤业 sh601001[股票]#短期趋势走坏，上方套牢套牢筹码较多，可考虑选择一些趋势向上的个股操作', '2018-05-31 02:26:43')
('发布了头条文章：《汇鸿集团 航民股份 文山电力 大同煤业：平台突破，回归正道？！》 $汇鸿集团 sh600981$ $航民股份 sh600987$ $文山电力 sh600995$ $大同煤业 sh601001$ $上证指数 sh000001$ |汇鸿集团 ...', '2018-05-29 09:32:08')
('发布了头条文章：《文山电力 大同煤业 连云港 节能风电：主力异动，何时反弹！?》 $文山电力 sh600995$ $大同煤业 sh601001$ $连云港 sh601008$ $节能风电 sh601016$ $上证指数 sh000001$ |文山电力 ...', '2018-05-27 05:57:40')
('今天我3.25买入了辉丰股份，6.10/6.00二单买神火股份，3.62/3.51买入宏达股份，4.15买入京东方，5.32买入大同煤业，5.06以上减了些*st巴士…继续测试和完善我的全学理论与智能交易及云水综合运算，参量不足，缺陷仍有！ 咱们中国人需要自己独有的安全可靠的战无不胜的理论体系！', '2018-05-24 22:33:01')
