('芯片又一新龙头再次封王，净利翻615倍，或将碾压鲁抗医药成妖 $欧普康视 sz300595$ $山煤国际 sh600546$ $长鹰信质 sz002664$ $金河生物 sz002688$ 姚晓浪的秒...', '2018-07-18 22:12:08')
('昨天介入的，山河药辅，今天急跌加仓做T。如果没有急跌，回本清仓。昨天买生物制药打错了标的，昨天鲁抗医药扛起了大旗。山河药辅只能是做跟涨。我不怎么喜欢做跟涨。所以今天拉起来就清。浮亏在1到2个点，清也无所谓。$山河药辅 sz300452$ $上证指数 sh000001$', '2018-07-18 21:31:12')
('发布了头条文章：《是迷茫，还是蓄势待发？股市安宁来告诉你答案。鲁抗医药+华仁药业+恒》 \ue627 股票分析 鲁抗医药 |是迷茫，还...', '2018-07-18 21:21:41')
('板块方面，继续关注次新叠加大消费贬值受益个股，昨天的品种算是非常强了，可以继续挖掘一下，另外，电力行业和养鸡行业今年业绩大幅改善，有个股开始走出趋势，可以关注一下。最近几大趋势股都走的不错，比如：风华高科、鲁抗医药、石基信息，但是不适合追高，弱势玩不了龙头，市场又开始玩新趋势了。', '2018-07-18 21:09:55')
('$鲁抗医药 sh600789$ $华能国际 sh600011$ $健康元 sh600380$ $仁和药业 sz000650$ V+会员的个股这段时间的走势相当可以了；（注意：买点已过，若以此贴做依据，盈亏自负）', '2018-07-18 21:09:38')
('昨天大盘下打到2770点，这样看这次对上周四大阳线的整固空间和时间都超预期，判大盘较弱。不过，昨天小市值股票好多不跌反涨。象我自选股鲁抗医药涨停，莱茵生物最高拉7个点。所以大家安心守住自己手里的超跌股，说不定哪天拉条大阳线。现在可以买股，但难度较大，因为有不少股票已在筑底，即使大盘跌 ...展开全文c', '2018-07-18 20:49:34')
('大盘博主用巴菲特一句话概括；“在别人贪婪时恐慌，在别人恐慌时贪婪”--002153石基信息 鲁抗医药 庄园牧场 新天药业!      大盘博主一直坚持一个观点就是现在处于地下室阶段，短期看起来是一种煎熬，长期看是一个绝佳投资机会，当然这种观点除非一年半载以后才能一步步应验，毕竟磨底过程是一 ...展开全文c', '2018-07-18 20:48:03')
('芯片又一新龙头再次封王，净利翻186倍，或将碾压鲁抗医药成妖 $西山煤电 sz000983$ $上海建工 sh600170$ $国立科技 sz300716$ $金枫酒业 sh600616$ 姚晓浪的秒...', '2018-07-18 18:11:49')
('$鲁抗医药 sh600789$ 是什么逻辑。', '2018-07-18 17:10:33')
('【高净看盘】：眼馋超跌反弹股。央行连续释放流动性，离岸人民币（USD/CNH)一度创出贬值新低6.7458，纺织服饰等受益股异动，民航房地产金融出境游等受损股承压；$上证指数 sh000001$冲击20日均线未果，又跌破2800。涨停以超跌小盘股为主、元器件股不少；$鲁抗医药 sh600789$近一个月来阳线多多。', '2018-07-18 12:38:47')
('芯片又一新龙头再次封王，净利翻633倍，或将碾压鲁抗医药成妖 $中持股份 sh603903$ $京汉股份 sz000615$ $普路通 sz002769$ $法兰泰克 sh603966$ 姚晓浪的秒...', '2018-07-18 08:08:32')
('《半年报最新战报：4家公司拟送转，14家营收利润双双高增长（附名单）》融资余额增幅前20只个股中，市场表现来看，平均下跌0.62%，涨幅居前的有鲁抗医药、石基信息、天齐锂业，涨幅分别为5.59%、5.05…网页链接', '2018-07-18 07:49:53')
('发布了头条文章：《大盘连续四日受制20日线 市场或展开二次探底行情》 $风华高科 sz000636$ $鲁抗医药 sh600789$ 出现分歧，风华后市能否成为下一个$方大炭素 sh600516$ ?(附操作策略） |大盘连续四...', '2018-07-18 05:54:54')
('发布了头条文章：《600789 鲁抗医药：资金不见转机，今日上攻或成回光返照？》 \ue627 短线牛股 \ue627 股票推荐 #股市投资思维# $鲁抗医药 sh600789$ |600789 鲁...', '2018-07-18 05:51:50')
('发布了头条文章：《鲁抗医药(600789)今日放出历史天量不涨停，已经见顶了！这是规律》 \ue627 微博股票 \ue627 新浪财经 # 牛股推荐# #新浪股吧# #股市看点# #上证指数sh000001# |鲁抗医药(6...', '2018-07-18 05:17:00')
('7月18日A股资金流向[玫瑰]主力净流入行业板块前五：电力、环保工程、银行、纺织服装、旅游酒店[玫瑰]主力净流入概念板块前五：风能、新能源、生态农业、迪士尼、在线旅游[玫瑰]主力净流入个股前十：江苏新能、恒瑞医药、庄园牧场、鲁抗医药、三安光电、华能水电、神雾节能、青岛啤酒、伊戈尔、 ...展开全文c', '2018-07-18 05:13:08')
('$鲁抗医药 sh600789$ 最近这么猛，哪里发生疫情了吗？', '2018-07-18 05:04:00')
('$鲁抗医药 sh600789$ 也是大级别中枢的突破，后续可以持续关注。上次说到大级别突破的票可是$风华高科 sz000636$ ，到现在的上涨幅度已经不止20%了说到远一点的，二月份推荐关注的$视觉中国 sz000681$ 也从22附近涨到了现在的28，最高一度突破30！有些人会问，今天鲁抗医药不是涨停炸板了，明 ...展开全文c', '2018-07-18 05:00:04')
('我们看一个例子，鲁抗医药突破了整个2016年的平台，而且还放量了哦，买吗？那恭喜你，你被套了。OK，但是你很喜欢这个标的，又想进场，买点在哪里呢？如果不左侧交易怎么右侧交易。先看左侧。买点在9.9或者9.4这里才是买点，注意这里是否有背离，没有背离很难再创新高。2、右侧：等再次放量突破11.3进 ...展开全文c', '2018-07-18 04:40:47')
('7月18日资金流向主力净流入行业板块前五：电力、化学制药、纺织、银行、环保主力净流入概念板块前五：风电、电力改革、迪士尼、新疆、深圳国资改革主力净流入个股前十：$江苏新能 sh603693$ 、$恒瑞医药 sh600276$ 、$庄园牧场 sz002910$ 、$鲁抗医药 sh600789$ 、$三安光电 sh600703$ 、 ...展开全文c', '2018-07-18 03:59:46')
