('股市唯一赚钱指标——“MACD”，堪称股市经典，建议永久珍藏！ $海德股份 sz000567$ $中核科技 sz000777$ $海创B股 sh900955$ $国星光电 sz002449$ yokki阳sup...', '2018-07-05 23:34:34')
('股市唯一不欺骗人“成交量”买入，句句真理，一但学会股市是印钞 $中核科技 sz000777$ $中国石化 sh600028$ $京新药业 sz002020$ $山推股份 sz000680$ 3305079245...', '2018-07-05 12:13:19')
('发布了头条文章：《000777 中核科技：盘面透露重大现象后市或将这样走！》 #a股~股市~股票~大盘~指数# #股票# #中核科技 sz000777[股票]# |000777 中...', '2018-07-05 01:22:29')
('前天晚上说的妖股要休息。昨天晚上说的国央企改革是新板块。无缝对接刚刚好...$福达合金 sh603045$ $荣科科技 sz300290$ $甘肃电投 sz000791$ $金龙汽车 sh600686$ $中核科技 sz000777$ $太阳能 sz000591$ $上海凤凰 sh600679$ 命中率我很满意。吃板了没有？', '2018-07-04 23:44:45')
('发布了头条文章：《鸿博股份+中核科技+福建水泥:后市展望精准预测》 #新浪股吧# #股票# #新浪财经# #头条文章# #上证指数# $鸿博股份 sz002229$ +$中核科技 sz000777$ +$福建水泥 sh600802$ |鸿博股份+...', '2018-07-04 21:43:26')
('发布了头条文章：《一名股市交易员的箴言：神奇的OVB指标，看懂出手分分钟暴利》 $联建光电 sz300269$ $中核科技 sz000777$ $上海洗霸 sh603200$ $雄塑科技 sz300599$ |一名股市交...', '2018-07-04 21:42:06')
('重点观注；贸易战（中农立华）环保工程（德创环保）芯片（阿石创）核电（中核科技）文化传媒（北京文化）通信设备（邦讯技术）业绩预增（甘肃电投 安阳钢铁 金路集团）国企改革（上海凤凰 深深宝A）。周期惯性领头羊恒者恒强邦讯技术5连板，太阳电缆和赫美集团3连板，贸易战风声频频吹起农业中农立华强 ...展开全文c', '2018-07-04 21:39:51')
('（转）明日计划 “电”节能环保相关概念1、今日电力板块走强是因为昨天有一个打赢蓝天保卫战的三年计划，提高用电比例！2、相关股赫美集团、太阳电缆、绿色动力、福达合金都是电力电气设备相关；深冷股份、中核科技都是清洁能源相关；德创环保、科林环保都是电力电气设备环保相关3、 高度邦讯技术、 ...展开全文c', '2018-07-04 20:01:25')
('股市永不坑人的黄金铁律：股票七不买三不卖，句句经典，永珍藏 $永兴特钢 sz002756$ $中核科技 sz000777$ $桂林三金 sz002275$ $常青股份 sh603768$ 我的小蜗牛...', '2018-07-04 12:56:58')
('核电板块强势启动，中核科技、台海核电封板，但券商+次新组合砸盘，加剧市场悲观情绪，创业板小破5日均线，不过随盘的被动回落，差价机会还是不少的，抓住主流低吸高抛。#短线牛股#', '2018-07-04 10:48:43')
