('富勒烯概念股早盘再度走强，通产丽星（002243）一字板四连板，亿利达（002686）秒板，豫金刚石（300064）、四方达（300179）、黄河旋风（600172）、江淮汽车（600418）纷纷跟涨。近日，我国首条吨级富勒烯生产线投产。近日，由内蒙古碳谷科技有限公司创建的国内首条吨级富勒烯生产线正式投产。据 ...展开全文c', '2018-07-16 22:33:49')
('#上证指数 sh000001[股票]# \ue627 新浪财经 \ue627 新浪理财师 昨天推荐给大家的 $豫金刚石 sz300064$ 豫金刚石 昨日虽然没有封住涨停板，但今日继续拉升 找好价位止盈出局。 我是说找高点', '2018-07-16 22:03:07')
('昨天钟华的头条文章中，关于富勒烯概念股我也是特别提到过了，今天早盘果不其然再度走强，龙头通产丽星一字板四连板，亿利达两连板，豫金刚石、黄河旋风等个股纷纷跟涨。近日，我国首条吨级富勒烯生产线投产。', '2018-07-16 21:56:22')
('中兴通讯又要封板的节奏，今天要封板需要的资金量可不是小数字，可能会比较吃力一些。我们昨日2个多点时说的豫金刚石也继续向上，目前三个多点，两天下来也有10个点了，恭喜恭喜了#中兴通讯 sz000063[股票]# #华谊兄弟 sz300027[股票]# #新浪财经# #牛股推荐# #投资达人说# @微博股票', '2018-07-16 21:49:58')
('昨天2个点说的亿利达继续涨停，已经有18%的涨幅了买潜伏一样可以买到大牛，这不比通产丽星的收益差的另外豫金刚石也继续向上，目前三个多点，两天下来也有10个点了#我不是药神# #世界杯吐槽大会# #世界杯吐槽大会#网页链接', '2018-07-16 21:48:35')
('中兴通讯又要封板的节奏，今天要封板需要的资金量可不是小数字，可能会比较吃力一些。中兴通讯现在的走势，就像当初的万科A一样，大盘股当成题材股来炒作。30亿的盘子，近期4天涨了30%多。昨天说的豫金刚石也继续向上，目前三个多点，两天下来也有10个点了，有把握我直播上票的朋友有盈利里可以自己把 ...展开全文c', '2018-07-16 21:47:41')
('7.95止损柳刚，昨天8.01买的，期货螺纹钢做头了，先回避下，5.85追豫金刚石，富勒烯概念追一下', '2018-07-16 21:43:16')
('豫金刚石也继续向上，目前三个多点，两天下来也有10个点了$上证指数 sh000001$', '2018-07-16 21:39:14')
('$豫金刚石 sz300064$ 也继续向上，目前三个多点，两天下来也有10个点了', '2018-07-16 21:38:12')
('早评：昨天继续挖掘牛股，盘中两个点说的#豫金刚石 sz300064[股票]# 和#亿利达 sz002686[股票]# 都冲击涨停，今天会继续挖掘类似牛股，大家要多多支持吴哥。$上证指数 sh000001$', '2018-07-16 21:20:11')
