('财政加大投资中涉及的建筑股今天大涨，以下为与建筑相关的个股名单。我们也会在盘中注意，看看以建筑为核心的这条线有没有扩散的迹象。#黑马集中营# $成都路桥 sz002628$ @微博股票', '2018-07-23 02:02:46')
('基础建设板块午后走强，沪指盘中站上2850点，截止发稿，沪指报2848.40点，上涨0.68%，创业板指报1605.33点，下跌0.26%。盘面上，水泥建材、铁路基建、船舶制造、一带一路等板块涨幅居前，生物制药、白酒消费等板块领跌。个股方面，中国交建、龙元建设、成都路桥涨停。苏交科、葛洲坝、中国铁建、山东路 ...展开全文c', '2018-07-23 01:59:44')
('板块涨幅榜：土木工程。涨停股：成都路桥、龙元建设、中国交建，是对下半年政府宽财政，搞基建投资的反映。', '2018-07-23 01:57:56')
('成都路桥命好，股权叠加了基建。命好。//@Mr_Amoy: 供销大集也炸了....//@Mr_Amoy: 被捅死了，早上说的股权转让的暗线，也不用看了。', '2018-07-23 01:22:21')
('基建的辐射太广，直接把兆新股份带炸了。', '2018-07-23 01:54:42')
('天一带一路大放异彩，近10只涨停，龙头成都路桥三连板。关于一带一路我们还需跟踪，是超跌反弹逻辑还是，还是消息刺激。', '2018-07-23 01:45:51')
('成都路桥原本是股权概念，结果被下午基建集体爆发，程度反而成了龙头，明天必定要顶一字了，美美哒', '2018-07-23 01:44:52')
('如果只是一天说明不了什么问题，但是现在来看市场资金对央\\行货币大放水的期望值是非常高的，涨的都是大金融（成都银行、$财通证券 sh601108$ 、安信托...)+大基建（成都路桥、$苏交科 sz300284$ 、中国交建...），不要不相信，曹山石的那条消息很可能是真的。', '2018-07-23 01:43:49')
('之前以为成都路桥是跟风成都银行的投机货，没想到居然是先知先觉。。', '2018-07-23 01:33:35')
('成都路桥这个套利板，居然走成了龙头这个大庄股要一路砸下去啊', '2018-07-23 01:31:26')
('目前主要是基建+带路+钢铁水泥，符合预期，成都路桥这个回封有点牛逼了！', '2018-07-23 01:14:21')
('股权转让概念龙头，兆新股份加速，带动西安饮食2板，成都路桥也冲击3板。版块有进一步发酵的可能。可以留意近期有股权转让的品种周五大涨的金融板块，今天分化，大家伙基本调整，只有几个小盘的表现了下，古鳌科技一字封死，成都银行2板烂板。', '2018-07-23 01:03:03')
('点赞签到、准备开工。从技术上看，大A股三根大阳线已经铸成典型的“底部形态”，指数经过大半年的杀跌配合利好消息，重新收复20日线。市场已经开始露出积极的一面，并对5000亿言论也不在恐慌。$葛洲坝 sh600068$ $成都路桥 sz002628$ $特锐德 sz300001$ $华新水泥 sh600801$', '2018-07-23 00:48:35')
('勉强勉强..三只票两只涨停。成都路桥您买了吗？', '2018-07-23 00:40:21')
('#成都路桥 sz002628[股票]# ，成都路桥，本身走的是股权转让，作为小弟，二板后，今天高开这么多已经是超预期，承接盘比较强，再次上板，烂板后，中国建筑中军助攻，又给了成都路桥回封和溢价', '2018-07-22 23:48:45')
('第一次捉妖，三连板狙击锁定了通产丽星，目前它已经到达了7板高度。第二次捉妖，今天成都路桥成功三连板，珈伟股份也表现不错。 另一方面，通产丽星继续被游资接力，那么后市必然有卡位它的日内龙头出现，比如今天 兆新股份就成功卡位接力美联新材。 对于明天将会卡位通产丽星的日内龙头，可以重点去 ...展开全文c', '2018-07-22 23:47:24')
('成都银行先跟成都路桥，后跟工行大哥，这龙头当的也太憋屈了吧', '2018-07-22 23:44:18')
('#赢在早盘# 周一早盘指数沪指深弱，金融股延续反弹，成都银行高开连板放量；低位基建股近期走出反弹，成都路桥高开三连板放量；其他方面是近期人气股的延续，如超跌富勒烯低开缩量加速板，8天7板；超跌被宝信举牌的兆新股份T字三连板缩量；锂电池圣阳股份高开连板；复牌股，通合科技高开缩量涨停反包， ...展开全文c', '2018-07-22 23:40:08')
('成都路桥带起了房地产相关概念。汉嘉设计还在装死。。明明你就是建筑设计的。可以买，这个价位低#汉嘉设计 sz300746[股票]#', '2018-07-22 23:38:49')
