('限售股解禁：美的集团、国泰君安、招商证券、方大炭素、东睦股份、中鼎股份、福瑞股份、长亮科技、信息发展、柏堡龙、飞天诚信。复牌个股：华数传媒、鸿达兴业、易成新能、富临运业停牌个股：金亚科技', '2018-06-25 20:45:21')
('亚洲股神爆：“股票七不买”是股市唯一100%盈利法，建议散户收藏 $君禾股份 sh603617$ $锐奇股份 sz300126$ $福瑞股份 sz300049$ $延华智能 sz002178$ 凌_BLove新...', '2018-06-25 15:49:20')
('【定增&重组】福瑞股份：终止筹划重大资产重组中珠医疗：终止重大资产重组', '2018-06-21 21:33:22')
('限售股解禁：亚泰集团、恒逸石化、华贸物流、华钰矿业、迪生力、易德龙、赛为智能、福瑞股份、尚荣医疗、通源石油、视源股份、德尔股份。', '2018-06-21 21:19:53')
('6.22【利空公告】思特奇：股东拟减持不超0.47%股份星网宇达：股东拟减持不超2.11%股份东华能源：资管计划到期 董事长近两日减持逾1600万股 ...展开全文c', '2018-06-21 20:59:14')
('【新视界每日划重点】福瑞股份：终止筹划重大资产重组；中珠医疗：终止重大资产重组；金财互联：3位股东拟合计增持1.2亿-1.5亿元；星网宇达：雷石天翼拟减持不超2.1142%股份；中兴通讯：无应披露未披露事项。#上证盘前# |新视界每日...', '2018-06-21 19:53:36')
('【福瑞股份：终止筹划重大资产重组】福瑞股份(300049)6月21日晚间公告，公司此前签订并购意向协议，拟以支付现金方式收购优德医疗的控股权，优德医疗的初步估值为16亿元。但由于本次重组交易双方就重组时间进度安排未能达成一致，经双方协商同意终止本次重大资产重组事项。', '2018-06-21 19:11:01')
('#福瑞股份 sz300049[股票]#停牌中，技术上趋势向下，无明显底部形态，复牌的时候可参考一下大盘的位置', '2018-06-07 23:33:23')
('网页链接 福瑞股份[股评]拟发行股份购入6.2亿新药资产国投系蛰伏多年将入主每经记者赵天宇每经编辑任芷霓停牌筹划重组已半年的福瑞股...|福瑞股份拟...', '2018-06-04 14:01:27')
('【公告精选：水井坊拟30亿邛崃市扩产；福瑞股份实控人将变为国投集团】【热点】完美世界：上线游戏表现良好 向上修正半年度业绩预告e公司讯，完... 网页链接', '2018-06-03 08:44:18')
('最“可笑”小散，想靠炒股发家致富，3年前贷款买10万股，还不起债#朗科科技 sz300042# #合康新能 sz300048# #福瑞股份 sz300049# #东方财富sz300059# 乔继凤分析...', '2018-05-31 21:40:12')
('发布了头条文章：《福瑞股份 万邦达 中能电气 南都电源：庄家深套，自救开始？！》 $福瑞股份 sz300049$ $万邦达 sz300055$ $中能电气 sz300062$ $南都电源 sz300068$ $上证指数 sh000001$ |福瑞股份 ...', '2018-05-31 05:09:55')
('全球首创乙肝治疗生物新药获批，市场相关医药概念再次受益。A股市场上，涉及乙肝概念的股票包括福瑞股份、双鹭药业、康泰生物、天坛生物、华兰生物、恒瑞医药、广生堂、康恩贝、华北制药、九芝堂、沃森生物、贵州百灵、博雅生物、白云山、智飞生物、安科生物等16只。', '2018-05-28 20:37:21')
('合康新能 福瑞股份 世纪鼎利 三五互联 股海大咖的...', '2018-05-20 23:29:21')
('发布了头条文章：《本周关键走势已经来临：宝通科技 新宙邦 星辉娱乐 福瑞股份》 $宝通科技 sz300031$ $新宙邦 sz300037$ $星辉娱乐 sz300043$ $福瑞股份 sz300049$ |本周关键走...', '2018-05-09 11:23:30')
('福瑞股份：拟收购优德医疗58.69%股权//@阿塔Titus: 保税科技：拟8.8亿元收购军工企业能通科技//@阿塔Titus: 华东数控：股东山东高新投拟减持不超4%股份', '2018-05-08 05:11:26')
('万科A股今日再现大宗交易 成交金额近2.8亿元', '2018-05-08 05:14:04')
('【（分享来自 @今日头条）2018年5月7日晚间河南本土新三板企业优德医疗发布公告称：公司优德控股、牛留栓、广州豫博投资和周强等控股股东与福瑞股份签署了《并购意向协议》。后者福瑞股份拟现金购买优德医疗控股权，交易对价尚未确定。... 网页链接', '2018-05-07 22:44:42')
('5.8【定增重组】保税科技：拟8.8亿元收购军工企业能通科技福瑞股份：拟收购优德医疗58.69%股权云铝股份：定增事宜获云南省国资委批复', '2018-05-07 20:45:09')
('保税科技：拟8.8亿元收购军工企业能通科技福瑞股份：拟收购优德医疗58.69%股权广发证券：母公司1-4月净利超14亿元正邦科技：4月份生猪销售收入同比翻倍 ...展开全文c', '2018-05-07 20:29:10')
('【一周4家新三板企业成上市公司并购标的】5月7日，福瑞股份拟现金收购新三板公司优德医疗的控股权。仅5月2日至5日，就有4家上市公司披露了并购新三板企业的交易预案，涉及新三板市场4家挂牌企业和1家拟挂牌企业，交易总额达20亿元。IPO潮水渐渐退去之时，并购成为“转板”的另一种体现形式。有国信证券 ...展开全文c', '2018-05-07 19:29:42')
('【公告速递：多家公司“摘帽”；*ST狮头控股股东变更】福瑞股份拟收购优德医疗58.69%股权；千山药机实控人之一钟波遭强制平仓，被动减持23万股；江南化工：杭州银行从公司募资账户扣划2.1亿元，其行为构成严重违约……中国证券网微信公众号(ID：www_cnstock_com)，未经授权，不得转载，否则追究法律责 ...展开全文c', '2018-05-07 10:14:52')
('福瑞股份(300049)5月7日晚公告，公司5月4日与优德医疗相关股东签订并购意向协议，此次计划收购优德医疗的股权目标为58.69%。本次收购完成后，对于优德医疗股东持有的剩余股权，福瑞股份同意在优德医疗完成2018年度承诺利润的条件下，未来通过采取现金或股权方式进行收购。优德医疗为新三板挂牌企业，主 ...展开全文c', '2018-05-07 08:41:21')
