('【停/复牌、解禁股数据】复牌个股：金陵饭店、华自科技、美尚生态停牌个股：*ST新城、*ST河化、步森股份、麦趣尔解禁个股：恒康医疗、万润科技、中核钛白、合众思壮、爱尔眼科、美尚生态、迅游科技、全筑股份、科蓝软件、科锐国际、东睦股份、正邦科技、华钰矿业、上海银行、腾信股份（注：以上数 ...展开全文c', '2018-06-07 11:18:36')
('三大报内参：1、人工智能国家队云从科技完成新一轮十亿级融资 或是IPO前奏佳都科技、张江高科2、集成电路关键基础材料实现量产 摆脱进口依赖并出口国际市场合盛硅业、有研新材 ...展开全文c', '2018-06-07 11:18:33')
('正邦科技：前5月生猪销售收入同比增97%正邦科技(002157)公告，5月份，公司销售生猪55.59万头，环比增长20.29%，同比增长217%；销售收入5.54亿元，环比增长5.74%，同比增长102.68%；2018年1-5月，公司累计销售生猪208.02万头，同比增长166.77%；累计销售收入26.4亿元，同比增97.39%。 ...展开全文c', '2018-06-07 08:42:43')
('发布了头条文章：《 002157正邦科技 股票牛市有没有规律, 一般多久来一次牛市?》 #股票抓涨停# \ue627 股票分析 #短线牛股# #重庆百货 sh600729[股票]# #东软集团 sh600718[股票]# |002157正邦...', '2018-06-07 04:21:29')
('尤其是$正邦科技 sz002157$ 股东们大幅增持刚刚结束。历史上看，$正邦科技 sz002157$ 股东们增持节点一般把控的很好。值得关注。', '2018-06-07 02:06:23')
('盘面观察：农业股午后震荡走强，顺鑫农业（000860）大涨近9%，万向德农（600371）涨逾5%，新疆天业（600075）、敦煌种业（600354）、正邦科技（002157）、丰乐种业（000713）等均走高。在当前弱市行情下，农业板块作为典型的防御性板块，后市表现值得进一步关注。', '2018-06-07 01:51:35')
('$正邦科技 sz002157$ （002157）：前5月生猪销售收入同比增97%', '2018-06-06 21:12:25')
('6.7【经营数据】中原证券：5月份利润环比大增66.8%广发证券：5月净利润4.45亿元正邦科技：前5月生猪销售收入同比增97% ...展开全文c', '2018-06-06 20:36:26')
('2018.06.06【晚间资讯】【正邦科技：前5月生猪销售收入同比增97%】【三六零：非公开发行股票申请获得证监会受理】【积成电子：中标1.14亿元国家电网项目】 ...展开全文c', '2018-06-06 13:04:16')
('中国央行已初步完成基于区块链技术的数字化票据系统//@阿塔Titus: 正邦科技前5月生猪销售收入同比增长97%//@阿塔Titus: 三六零：非公开发行股票申请获受理//@阿塔Titus: 液氯价格今日上涨20.26%', '2018-06-06 01:47:56')
('海南省计划筹措约190亿治理农村生活污水', '2018-06-06 04:54:55')
('$上证指数 sh000001$ 中长线机会0.95%猪肉供应结构性失调 生猪价格反弹进一步深入2018-05-20追踪至今正邦科技 0.83%2018-05-20追踪至今温氏股份 2.89%05-29 09:071.05%MSCI概念A股入MSCI名单出炉 牛市或开启2018-05-15追踪至今东旭光电 1.09%2018-05-15追踪至今纳思达 4.68%05-15 10:36 ...展开全文c', '2018-06-05 21:24:59')
('目前持仓8成，4成$正邦科技 sz002157$ ，2成$金洲慈航 sz000587$ ，2成$领益智造 sz002600$ 。犹豫金洲慈航封死跌停板了，正邦科技又仓位较高，目前的情况跟被动，剩下的2成仓要积极做T扭转局势了。金洲慈航的跌停网传说法不一，为了不传谣这里也不多讨论了，第一次遇到黑天鹅，不知道为什么吃了两个跌 ...展开全文c', '2018-06-04 23:12:03')
('发布了头条文章：《正邦科技+中国铁建+爱建集团,主力在暗中出逃，后》$正邦科技 sz002157$中国铁建 sh601186$ $爱建集团 sh600643$上证指数 sh000001$ |正邦科技+...', '2018-06-04 10:25:40')
('星缘材质大跌后泛红这意味着什么？底部确认完成，最多横盘，不可能再跌了。今天st椰岛也表现不错，正邦科技回踩可买。椰岛从5.8开始关注，利润也相当丰厚了。振德医疗的反弹只是时间的问题，提前抓它的底可是我的老本行了。', '2018-06-04 02:13:41')
