('发布了头条文章：《飞荣达300602：昔日龙头遭主力底部吸筹，将迎来持续连板行情？》 $飞荣达 sz300602$ #财经头条文章# #a股~股市~股票~大盘~指数# |飞荣达3006...', '2018-07-17 21:54:45')
('集成电路电子元件板块确实涨停潮，很多都是游资拉上来的，好几个涨停板的都有，有几个是业绩预增上来的。比如飞荣达和金安国纪都三连板 \ue627 股市 \ue627 牛股推荐 \ue627 今日看盘 \ue627 新浪理财师 \ue627 短线牛股 \ue627 股票推荐 \ue627 微博财经', '2018-07-17 21:52:59')
('幻想千次 不如加入教父实盘实战群 实干一次！今日实战飞荣达 看看教父的神买点 三个买点 第一次 探底粉丝低点买入 第2个 2封买入 第3个 3封买入！通产丽星 不要去玩了 这个随时死人！进去就是买套！因为成交量太少了 可能出不了 大资金进去！只有飞龙达 好名字 新龙头！', '2018-07-17 21:52:23')
('虚心同学9:41分买入$飞荣达 sz300602$ 买得真是准，买入后3分钟封上涨停，强势两连板！', '2018-07-17 21:50:48')
('#每日涨停板标的#飞荣达9.3%，净值上升至1.52。今日标的，无。', '2018-07-17 21:50:12')
('#飞荣达 sz300602[股票]# 昨日推荐的个股，昨天打板，今日再次打板，打板就是出货，叔叔，不贪，我们不贪，落袋为安！', '2018-07-17 21:45:02')
('飞荣达，通产丽星，金安国纪竞价太高不好介入，个别标的情绪一字板。最好的介入标的且满足预期的，京威股份，至纯科技。纵横通信低开可以直接落袋，彤程新材昨天水下6点介入，平盘开盘所以可以落袋后贴线接回，也可以持有。', '2018-07-17 21:43:10')
('1、现在板块龙头最后倒下？ 好像不存在，小弟依然活的好好的，比如天华超净天地板那天，京威股份依然牢牢封死涨停，昨天意化股份小幅高开低于预期，冲高无力大幅回落，但是飞荣达，纵横通信等依然2板稳稳封住。2、5G：上面也写了龙头倒下，现在市场有对于缩量加速的接力开始谨慎，毕竟近期加速大面太多了。反而中军中兴通讯封死连板，今天中兴港股涨幅3%，A股涨停，拉平了之前二市之间的涨幅差价，大游资今天以卖出为主了。这票短线后面不会继续这么大幅度连续拉升了，有回调需求，但是由于足够的流动性还会反复下。至于2板的纵横通信，飞荣达，沃特股份，3板接力的盈亏比感觉不高，注意换手情况吧，缩量的谨慎，毕竟龙头才3板+。3、三变科技反包涨停，走出地天板，对情绪上是一个带动，电气板块伊戈尔，凯发电气拉板是带动拉出大长腿的助力之一。按理享受高溢价。三变科技今天可以当做情绪标的，不用去参与，如果给出高溢价。那么市场会模仿类似手法，留意大长腿的机会，不过只能水下有承接情况下低吸，而不是追涨。比如图形类似的京威股份，中能电气等。超跌板块的低位前排首板，这几天溢价都很高，很多第二天都给了加速，可以多留意。4、富勒烯+石墨烯：富勒烯15年那时候就炒过，巧合的是龙头就是通产丽星，昨天t字回封板，强度很高，带动板块日内发酵，由于这个板块容纳体量的问题，所以资金午后又发动了类似的石墨烯个股助攻。富勒烯这块正宗的就是三个通产丽星，亿利达和丰原药业，是有专利的。这里龙头通产丽星，今天有冲击5板的机会，但是鉴于最近接力高位股的情绪，盈亏比不高，哪怕是换手5板，后面空间也不大。一旦炸板吃面可能就是大面了。当做情绪标的看吧，如果强势封死，那么做下相关小弟的低吸套利。5、业绩线最近机会不少，打板做不来的，可以做业绩趋势股，但是业绩趋势股其实和短线超短一样，要做强势的，而不是买跌的，这个逻辑是不对的。比如风华高科，神马股份之前涨幅大，但是这几天依然强势。有些业绩股虽然低位但是依然不涨。那么业绩股，是怎么做，选择强势的去低吸，业绩股这种图形多看看基本都是走趋势，但涨停不会多，适合分时低吸而不是分时追高。现在这几天是震荡市，尾盘小幅反弹整体市场情绪还是带起来了，60板+，指数这里最好的节奏就是震荡，创业板更强一些，那么还是有题材可以做。点赞转发富一生收起全文d', '2018-07-17 21:34:53')
('竞价看龙头：超跌概念股$南京新百 sh600682$ 、金龙机电，业绩预增概念股海达股份、中超控股 ，5G概念股飞荣达、纵横通信，石墨烯概念股德尔未来，富勒烯概念股通产丽星，芯片概念股金安国纪、恒泰实达\ue627 今日看盘 \ue627 投资达人说', '2018-07-17 21:26:58')
('7.17小结:竞价核按钮长盛，尾盘有冲高表现，仓位不大还是亏了16%。冲高卖出了失去市场地位的意华半仓赚了11%。打板了纵横通信1封跟2封，但好像飞荣达好像才是龙头。尾盘买入碳元科技，超跌+石墨烯。', '2018-07-17 21:26:52')
('找一些反包股，比如说业绩预报符合预期或者上升，那么股票出现冲高回落，而第二日出现反包的股可以重点关注，比如飞荣达，上周四公布业绩，周五冲高回落，周一直接反包，这类股可以去做的。', '2018-07-17 21:26:14')
('集合竞价：$斯太尔 sz000760$$金安国纪 sz002636$$飞荣达 sz300602$$丹邦科技 sz002618$$兆新股份 sz002256$持续性比较好 ...展开全文c', '2018-07-17 21:25:55')
('早啊，集合竞价表面出盘面很弱，今日的新股先观察等盘面清晰了再推荐。但依然挡不住昨日推荐的300602飞荣达和000063中兴通迅，一天10个点和8个点，弱市能有这样的战绩，不错吧~$上证指数 sh000001$', '2018-07-17 21:25:39')
('新材料：富勒烯：通产丽星、亿利达石墨烯：德尔未来、杭电股份、碳元科技业绩预增：飞荣达、海达股份、中超控股、佳发教育、润达医疗、时代新材、百润股份、用友网络、台基股份、科斯伍德泛填权：飞荣达、纵横通信、沃特股份、佳发教育、用友网络、台基股份、奥瑞德、赫美集团、拉芳家化、仙坛股份 ...展开全文c', '2018-07-17 21:24:44')
('AI魔板选股：三变科技、飞荣达、仙坛股份。安卓下载地址：网页链接', '2018-07-17 21:22:52')
('【热点复盘】1、5G：意华股份、纵横通信、中兴通讯、美格智能、创意信息、沃特股份、飞荣达、奥维通信2、中报预增：海达股份、北方国际、智度股份、合兴包装、中核科技、安井食品、德威新材3、超跌：联建光电、金运激光、三维股份、英特集团、凯盛科技、南京新百、盛运环保 ...展开全文c', '2018-07-17 21:17:31')
('今日操作策略1、先聊短线5G：中兴通讯（中军）、纵横通信（卡位龙头）因为昨天意华股份被按死了，所以纵横通信也不是很看好，总之谨慎点，包括中兴通讯也到了获利点了，这里需要回调。所以，不看好持续性。...展开全文c', '2018-07-17 21:17:19')
('今天关注：飞荣达、通产丽星、金安国纪！股市有风险，投资需谨慎！ |周口·汉阳... 骑牛老妖的...', '2018-07-17 21:09:31')
('今日的行情最好走势缩量洗盘之后放量反弹，放不出量则继续震荡回踩，但是不影响中报和个股的分化行情，近期中报上来的股票轮动。诸如飞荣达、中超控股、科斯伍德、时代新材等等均是上周近期发布业绩预告之后上攻的。市场在没有放量上行的情况下，中报分化，以个股为主。其中部分科技股的中报业绩漂亮的 ...展开全文c', '2018-07-17 21:04:10')
('#今日看盘# 早安大盘昨日缩量回踩，尾盘翘了下尾巴，创业板指数近期走的都比主板强。连板股迟迟打不开空间，超跌股和趋势股则走势强劲。市场依然比较沉闷，比较吸人眼球的，主要是中兴通讯的二连板以及三变科技的地天板。芊芊提到的$飞荣达 sz300602$ ，机构加持、新高，今天大概率一字板 ...展开全文c', '2018-07-17 20:59:52')
('昨天5g的意华股份因为连续缩量没有换手挂掉，被飞荣达机构抱团买，今天继续关注是否有换手，另外个纵横通信，昨天换手二板，爆了量，今天关注是否高开，冲击涨停话将新高，不过因为意华股份没有4板，对他也有情绪上的承压', '2018-07-17 20:58:37')
('$飞荣达 sz300602$业绩预增的通讯类股票，但复权后形态不佳，应注意滞涨时减仓。', '2018-07-17 20:57:54')
('涨停复盘：共59只涨停，新上市次新5只持续涨停。另 半导体1只，电气设备7只，软件服务3只，塑料3只，通信设备8只，元器件6只。其余涨停不做统计，主力资金主线电子元器件软件及电气。涨停002746跨过年线，年线上方涨停有：台基股份，丹邦科技，当升科技，用友网络，佳发教育，飞荣达，菲利华，沃特股份 ...展开全文c', '2018-07-17 20:57:38')
